11-Jan-2026 17:10:01 | INFO | admin | scope=global key=[REDACTED] value=home type=string | Setting retrieved from DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] default=en-GB | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] default=off | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] default=Y-m-d | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] default=H:i:s | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] default=Y-m-d H:i:s | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] value=php_mail type=string | Setting retrieved from DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] value=no-reply@freeflowcms.online type=string | Setting retrieved from DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] value=Freeflow CMS type=string | Setting retrieved from DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] value=no-reply@freeflowcms.online type=string | Setting retrieved from DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] value=freeflowcms.online type=string | Setting retrieved from DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] value=465 type=int | Setting retrieved from DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] value=ssl type=string | Setting retrieved from DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] value=system@freeflowcms.online type=string | Setting retrieved from DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] default=false | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=global key=[REDACTED] value=true type=bool | Setting retrieved from DB
11-Jan-2026 17:10:24 | INFO | admin | scope=security key=[REDACTED] default=none | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=security key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=security key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=security key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=security key=[REDACTED] default=3 | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=security key=[REDACTED] default=false | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=security key=[REDACTED] default=3 | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=security key=[REDACTED] default=false | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=security key=[REDACTED] default=5 | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=freegate key=[REDACTED] default=external | Setting not found in DB
11-Jan-2026 17:10:24 | INFO | admin | scope=security key=[REDACTED] value=fcdadb0ea431b0d47bdefbf29352090c9ccfc860f588d305d77f71d84c816a25 type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=home type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=Freeflow CMS type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=Guardrails without Rails type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=https://freeflowcms.online type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=true type=bool | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value= type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=60 type=int | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value= type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=Freeflow CMS type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value= type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value= type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=Freeflow CMS type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=0 type=int | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=summary_large_image type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=above type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=above type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=above type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=above type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=1 type=int | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=above type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=true type=bool | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=1 type=int | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=above type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=1 type=int | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=above type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=1 type=int | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=above type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=1 type=int | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=above type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=1 type=int | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=above type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=10 | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=4000 | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=4000 | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=85 | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=en-GB | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=off | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=Y-m-d | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=H:i:s | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=Y-m-d H:i:s | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=php_mail type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=no-reply@freeflowcms.online type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=Freeflow CMS type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=no-reply@freeflowcms.online type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=freeflowcms.online type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=465 type=int | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=ssl type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=system@freeflowcms.online type=string | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] default=false | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=global key=[REDACTED] value=true type=bool | Setting retrieved from DB
11-Jan-2026 17:10:28 | INFO | admin | scope=security key=[REDACTED] default=none | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=security key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=security key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=security key=[REDACTED] default=true | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=security key=[REDACTED] default=3 | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=security key=[REDACTED] default=false | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=security key=[REDACTED] default=3 | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=security key=[REDACTED] default=false | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=security key=[REDACTED] default=5 | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=freegate key=[REDACTED] default=external | Setting not found in DB
11-Jan-2026 17:10:28 | INFO | admin | scope=security key=[REDACTED] value=fcdadb0ea431b0d47bdefbf29352090c9ccfc860f588d305d77f71d84c816a25 type=string | Setting retrieved from DB
